Trial,Replicate,IndividualID,FoodDate,Sex,PupationDate,PupalMass,PupationAge,EmergenceDate,EmergenceAge
Full Mating Exposure,1,1,10/31/17,F,11/12/17,0.3608,12,11/25/17,25
Full Mating Exposure,1,2,10/31/17,M,11/12/17,0.3526,12,11/26/17,26
Full Mating Exposure,1,3,10/31/17,F,11/11/17,0.3928,11,11/23/17,23
Full Mating Exposure,1,4,10/31/17,M,11/14/17,0.4166,14,11/26/17,26
Full Mating Exposure,1,5,10/31/17,M,11/12/17,0.3902,12,11/24/17,24
Full Mating Exposure,1,6,10/31/17,M,11/15/17,0.414,15,11/26/17,26
Full Mating Exposure,1,7,10/31/17,M,11/12/17,0.3815,12,11/25/17,25
Full Mating Exposure,1,8,10/31/17,F,11/15/17,0.3943,15,11/27/17,27
Full Mating Exposure,1,9,10/31/17,M,11/13/17,0.3556,13,11/25/17,25
Full Mating Exposure,1,10,10/31/17,M,11/14/17,0.429,14,11/26/17,26
Full Mating Exposure,1,11,10/31/17,F,11/14/17,0.3882,14,11/26/17,26
Full Mating Exposure,1,12,10/31/17,F,11/14/17,0.4218,14,11/26/17,26
Full Mating Exposure,1,13,10/31/17,F,11/14/17,0.3682,14,11/26/17,26
Full Mating Exposure,1,14,10/31/17,M,11/12/17,0.3508,12,11/24/17,24
Full Mating Exposure,1,15,10/31/17,F,11/12/17,0.4118,12,11/24/17,24
Full Mating Exposure,1,16,10/31/17,M,11/11/17,0.3431,11,11/25/17,25
Full Mating Exposure,1,17,10/31/17,F,11/12/17,0.3752,12,11/24/17,24
Full Mating Exposure,1,18,10/31/17,F,11/12/17,0.4022,12,11/24/17,24
Full Mating Exposure,1,19,10/31/17,F,11/13/17,0.3585,13,11/24/17,24
Full Mating Exposure,1,20,10/31/17,F,11/12/17,0.3796,12,11/24/17,24
Full Mating Exposure,1,21,10/31/17,M,11/11/17,0.3529,11,11/25/17,25
Full Mating Exposure,1,22,10/31/17,M,11/11/17,0.3598,11,11/24/17,24
Full Mating Exposure,1,23,10/31/17,M,11/12/17,0.362,12,11/25/17,25
Full Mating Exposure,1,24,10/31/17,M,11/12/17,0.3496,12,11/26/17,26
Full Mating Exposure,1,25,10/31/17,M,11/13/17,0.3143,13,11/24/17,24
Full Mating Exposure,1,26,10/31/17,F,11/12/17,0.3342,12,11/24/17,24
Full Mating Exposure,1,27,10/31/17,F,11/12/17,0.3489,12,11/24/17,24
Full Mating Exposure,1,28,10/31/17,F,11/12/17,0.4212,12,11/24/17,24
Full Mating Exposure,1,29,10/31/17,M,11/14/17,0.2817,14,11/26/17,26
Full Mating Exposure,1,30,10/31/17,F,11/12/17,0.4075,12,11/24/17,24
Full Mating Exposure,1,32,10/31/17,M,11/13/17,0.3704,13,11/25/17,25
Full Mating Exposure,1,33,10/31/17,M,11/13/17,0.4018,13,11/24/17,24
Full Mating Exposure,1,34,10/31/17,F,11/12/17,0.3665,12,11/25/17,25
Full Mating Exposure,1,35,10/31/17,M,11/12/17,0.4146,12,11/24/17,24
Full Mating Exposure,1,36,10/31/17,F,11/15/17,0.4057,15,11/26/17,26
Full Mating Exposure,1,38,10/31/17,F,11/15/17,0.3762,15,11/25/17,25
Full Mating Exposure,1,39,10/31/17,M,11/13/17,0.3421,13,11/26/17,26
Full Mating Exposure,1,40,10/31/17,M,11/12/17,0.3749,12,11/25/17,25
Full Mating Exposure,1,41,10/31/17,F,11/13/17,0.3574,13,11/25/17,25
