Trial,Replicate,IndividualID,FoodDate,Sex,PupationDate,PupalMass,PupationAge,EmergenceDate,EmergenceAge,Ultrasound,Pupated,Emerged
Control,1,4,6/14/17,F,NA,NA,NA,7/4/17,NA,N,Y,Y
Control,1,1,6/14/17,M,NA,0.3877,NA,NA,NA,N,Y,Y
Control,1,2,6/14/17,M,NA,0.4058,NA,NA,NA,N,Y,Y
Control,1,3,6/14/17,M,NA,0.3378,NA,NA,NA,N,Y,Y
Control,2,1,6/14/17,F,NA,NA,NA,7/4/17,NA,N,Y,Y
Control,2,2,6/14/17,F,NA,0.3656,NA,NA,NA,N,Y,Y
Control,2,3,6/14/17,F,NA,NA,NA,7/4/17,NA,N,Y,Y
Control,2,4,6/14/17,F,NA,NA,NA,7/4/17,NA,N,Y,Y
Control,2,5,6/15/17,F,NA,0.3973,NA,NA,NA,N,Y,Y
Control,2,6,6/16/17,F,NA,NA,NA,7/4/17,NA,N,Y,Y
Control,2,7,6/16/17,F,NA,0.2714,NA,NA,NA,N,Y,Y
Control,11,1,8/11/17,F,8/22/17,0.3038,11,NA,NA,N,Y,Y
Control,11,3,8/11/17,F,8/22/17,0.332,11,NA,NA,N,Y,Y
Control,11,7,8/11/17,F,8/23/17,0.3818,12,NA,NA,N,Y,Y
Control,11,8,8/11/17,F,8/23/17,0.3941,12,NA,NA,N,Y,Y
Control,11,9,8/11/17,F,8/23/17,0.3719,12,NA,NA,N,Y,Y
Control,11,12,8/11/17,F,8/23/17,0.4168,12,NA,NA,N,Y,Y
Control,11,14,8/11/17,F,8/23/17,0.3835,12,NA,NA,N,Y,Y
Control,11,15,8/11/17,F,8/23/17,0.3869,12,NA,NA,N,Y,Y
Control,11,19,8/11/17,F,8/23/17,0.3864,12,NA,NA,N,Y,Y
Control,11,20,8/11/17,F,8/23/17,0.3998,12,NA,NA,N,Y,Y
Control,11,21,8/11/17,F,8/23/17,0.3639,12,NA,NA,N,Y,Y
Control,11,22,8/11/17,F,8/23/17,0.3438,12,NA,NA,N,Y,Y
Control,11,24,8/11/17,F,8/23/17,0.3802,12,NA,NA,N,Y,Y
Control,11,25,8/11/17,F,8/23/17,0.3948,12,NA,NA,N,Y,Y
Control,11,26,8/11/17,F,8/22/17,0.3301,11,NA,NA,N,Y,Y
Control,11,31,8/11/17,F,8/23/17,0.3469,12,NA,NA,N,Y,Y
Control,11,2,8/11/17,M,8/23/17,0.3534,12,NA,NA,N,Y,Y
Control,11,4,8/11/17,M,8/23/17,0.3977,12,NA,NA,N,Y,Y
Control,11,5,8/11/17,M,8/22/17,0.3117,11,NA,NA,N,Y,Y
Control,11,6,8/11/17,M,8/23/17,0.3331,12,NA,NA,N,Y,Y
Control,11,10,8/11/17,M,8/23/17,0.3703,12,NA,NA,N,Y,Y
Control,11,11,8/11/17,M,8/22/17,0.3184,11,NA,NA,N,Y,Y
Control,11,13,8/11/17,M,8/23/17,0.3619,12,NA,NA,N,Y,Y
Control,11,16,8/11/17,M,8/23/17,0.3679,12,NA,NA,N,Y,Y
Control,11,17,8/11/17,M,8/22/17,0.304,11,NA,NA,N,Y,Y
Control,11,18,8/11/17,M,8/22/17,0.3244,11,NA,NA,N,Y,Y
Control,11,23,8/11/17,M,8/23/17,0.3656,12,NA,NA,N,Y,Y
Control,11,27,8/11/17,M,8/22/17,0.3267,11,NA,NA,N,Y,Y
Control,11,28,8/11/17,M,8/22/17,0.3195,11,NA,NA,N,Y,Y
Control,11,29,8/11/17,M,8/23/17,0.3555,12,NA,NA,N,Y,Y
Control,11,30,8/11/17,M,8/23/17,0.3959,12,NA,NA,N,Y,Y
Control,11,32,8/11/17,M,8/23/17,0.3629,12,NA,NA,N,Y,Y
Control,12,28,8/14/17,DEAD,DEAD,DEAD,DEAD,DEAD,NA,N,N,N
Control,12,56,8/14/17,DEAD,DEAD,DEAD,DEAD,DEAD,NA,N,N,N
Control,12,62,8/14/17,DEAD,DEAD,DEAD,DEAD,DEAD,NA,N,N,N
Control,12,63,8/14/17,DEAD,DEAD,DEAD,DEAD,DEAD,NA,N,N,N
Control,12,1,8/14/17,F,8/26/17,0.354,12,9/6/17,23,N,Y,Y
Control,12,3,8/14/17,F,8/26/17,0.3466,12,9/5/17,22,N,Y,Y
Control,12,5,8/14/17,F,8/25/17,0.3114,11,9/5/17,22,N,Y,Y
Control,12,7,8/14/17,F,8/26/17,0.3507,12,9/5/17,22,N,Y,Y
Control,12,9,8/14/17,F,8/26/17,0.3397,12,9/5/17,22,N,Y,Y
Control,12,10,8/14/17,F,8/26/17,0.3829,12,9/6/17,23,N,Y,Y
Control,12,11,8/14/17,F,8/26/17,0.3821,12,9/5/17,22,N,Y,Y
Control,12,13,8/14/17,F,8/26/17,0.3746,12,9/6/17,23,N,Y,Y
Control,12,14,8/14/17,F,8/26/17,0.394,12,9/6/17,23,N,Y,Y
Control,12,16,8/14/17,F,8/26/17,0.3693,12,9/5/17,22,N,Y,Y
Control,12,17,8/14/17,F,8/25/17,0.3279,11,9/5/17,22,N,Y,Y
Control,12,19,8/14/17,F,8/26/17,0.3294,12,9/4/17,21,N,Y,Y
Control,12,20,8/14/17,F,8/26/17,0.3515,12,9/5/17,22,N,Y,Y
Control,12,21,8/14/17,F,8/27/17,0.3033,13,9/7/17,24,N,Y,Y
Control,12,23,8/14/17,F,8/27/17,0.3703,13,9/7/17,24,N,Y,Y
Control,12,24,8/14/17,F,8/26/17,0.3398,12,9/5/17,22,N,Y,Y
Control,12,25,8/14/17,F,8/27/17,0.3785,13,9/6/17,23,N,Y,Y
Control,12,33,8/14/17,F,8/26/17,0.3946,12,9/6/17,23,N,Y,Y
Control,12,36,8/14/17,F,8/26/17,0.3372,12,9/6/17,23,N,Y,Y
Control,12,37,8/14/17,F,8/26/17,0.306,12,9/6/17,23,N,Y,Y
Control,12,39,8/14/17,F,8/25/17,0.323,11,9/4/17,21,N,Y,Y
Control,12,40,8/14/17,F,8/26/17,0.3268,12,9/6/17,23,N,Y,Y
Control,12,41,8/14/17,F,8/26/17,0.3699,12,9/6/17,23,N,Y,Y
Control,12,42,8/14/17,F,8/26/17,0.3168,12,9/6/17,23,N,Y,Y
Control,12,43,8/14/17,F,8/27/17,0.3368,13,9/7/17,24,N,Y,Y
Control,12,44,8/14/17,F,8/26/17,0.3566,12,9/6/17,23,N,Y,Y
Control,12,45,8/14/17,F,8/26/17,0.35,12,9/6/17,23,N,Y,Y
Control,12,46,8/14/17,F,8/26/17,0.351,12,9/6/17,23,N,Y,Y
Control,12,47,8/14/17,F,8/26/17,0.349,12,9/6/17,23,N,Y,Y
Control,12,48,8/14/17,F,8/26/17,0.3513,12,9/6/17,23,N,Y,Y
Control,12,49,8/14/17,F,8/26/17,0.3209,12,9/5/17,22,N,Y,Y
Control,12,50,8/14/17,F,8/26/17,0.3316,12,9/6/17,23,N,Y,Y
Control,12,52,8/14/17,F,8/26/17,0.3193,12,9/6/17,23,N,Y,Y
Control,12,53,8/14/17,F,8/26/17,0.3244,12,9/6/17,23,N,Y,Y
Control,12,58,8/14/17,F,8/26/17,0.386,12,9/6/17,23,N,Y,Y
Control,12,59,8/14/17,F,8/25/17,0.3328,11,9/5/17,22,N,Y,Y
Control,12,61,8/14/17,F,8/26/17,0.3517,12,9/6/17,23,N,Y,Y
Control,12,2,8/14/17,M,8/26/17,0.3206,12,9/7/17,24,N,Y,Y
Control,12,4,8/14/17,M,8/26/17,0.3733,12,9/7/17,24,N,Y,Y
Control,12,6,8/14/17,M,8/26/17,0.377,12,9/7/17,24,N,Y,Y
Control,12,8,8/14/17,M,8/26/17,0.3661,12,9/7/17,24,N,Y,Y
Control,12,12,8/14/17,M,8/26/17,0.3767,12,9/7/17,24,N,Y,Y
Control,12,15,8/14/17,M,8/26/17,0.3796,12,9/7/17,24,N,Y,Y
Control,12,18,8/14/17,M,8/26/17,0.3508,12,9/6/17,23,N,Y,Y
Control,12,22,8/14/17,M,8/26/17,0.3537,12,9/6/17,23,N,Y,Y
Control,12,26,8/14/17,M,8/26/17,0.349,12,9/7/17,24,N,Y,Y
Control,12,27,8/14/17,M,8/26/17,0.3397,12,9/6/17,23,N,Y,Y
Control,12,29,8/14/17,M,8/27/17,0.3381,13,9/7/17,24,N,Y,Y
Control,12,30,8/14/17,M,8/26/17,0.3494,12,9/6/17,23,N,Y,Y
Control,12,31,8/14/17,M,8/25/17,0.3233,11,9/5/17,22,N,Y,Y
Control,12,32,8/14/17,M,8/25/17,0.3397,11,9/5/17,22,N,Y,Y
Control,12,34,8/14/17,M,8/26/17,0.3599,12,9/7/17,24,N,Y,Y
Control,12,35,8/14/17,M,8/26/17,0.3648,12,9/7/17,24,N,Y,Y
Control,12,38,8/14/17,M,8/26/17,0.3561,12,9/7/17,24,N,Y,Y
Control,12,51,8/14/17,M,8/26/17,0.2747,12,9/6/17,23,N,Y,Y
Control,12,54,8/14/17,M,8/26/17,0.3009,12,9/7/17,24,N,Y,Y
Control,12,55,8/14/17,M,8/25/17,0.306,11,9/6/17,23,N,Y,Y
Control,12,57,8/14/17,M,8/26/17,0.3832,12,9/7/17,24,N,Y,Y
Control,12,60,8/14/17,M,8/25/17,0.3331,11,9/5/17,22,N,Y,Y
Control,12,64,8/14/17,M,8/26/17,0.3752,12,9/7/17,24,N,Y,Y
Control,14,20,8/10/17,DEAD,DEAD,DEAD,DEAD,NA,NA,N,N,Y
Control,14,1,8/10/17,F,8/22/17,0.3185,12,NA,NA,N,Y,Y
Control,14,3,8/10/17,F,8/22/17,0.3773,12,NA,NA,N,Y,Y
Control,14,7,8/10/17,F,8/22/17,0.3315,12,NA,NA,N,Y,Y
Control,14,11,8/10/17,F,8/21/17,0.2804,11,DEAD,NA,N,Y,N
Control,14,12,8/10/17,F,8/22/17,0.3187,12,NA,NA,N,Y,Y
Control,14,13,8/10/17,F,8/22/17,0.3431,12,NA,NA,N,Y,Y
Control,14,14,8/10/17,F,8/22/17,0.3233,12,NA,NA,N,Y,Y
Control,14,17,8/10/17,F,8/21/17,0.3103,11,NA,NA,N,Y,Y
