Trial,Replicate,IndividualID,FoodDate,Sex,PupationDate,PupalMass,PupationAge,EmergenceDate,EmergenceAge,Ultrasound
1 to 3,27,53,11/13/17,F,12/1/17,0.3172,18,12/11/17,28,N
1 to 3,26,3,10/30/17,F,11/15/17,0.3055,17,DEAD,NA,N
1 to 3,27,34,11/13/17,F,11/30/17,0.2726,17,12/13/17,30,N
1 to 3,20,75,9/5/17,F,9/21/17,0.3504,16,NA,NA,N
1 to 3,21,8,9/6/17,F,9/21/17,0.4964,16,NA,NA,N
1 to 3,21,11,9/6/17,F,9/21/17,0.4731,16,NA,NA,N
1 to 3,25,5,10/25/17,F,11/9/17,0.3391,16,11/21/17,27,N
1 to 3,25,64,10/25/17,F,11/9/17,0.3406,16,11/19/17,25,N
1 to 3,28,66,11/27/17,F,12/13/17,0.3725,16,NA,NA,N
1 to 3,29,14,12/4/17,F,12/20/17,0.2867,16,NA,NA,N
1 to 3,11,7,8/7/17,F,8/21/17,0.2943,15,8/31/17,24,N
1 to 3,11,11,8/7/17,F,8/21/17,0.2681,15,9/1/17,25,N
1 to 3,11,17,8/7/17,F,8/21/17,0.3508,15,9/1/17,25,N
1 to 3,11,18,8/7/17,F,8/21/17,0.3217,15,8/31/17,24,N
1 to 3,11,23,8/7/17,F,8/21/17,0.3849,15,8/30/17,23,N
1 to 3,11,27,8/7/17,F,8/21/17,0.3318,15,9/1/17,25,N
1 to 3,11,47,8/7/17,F,8/21/17,0.3166,15,9/1/17,25,N
1 to 3,20,31,9/5/17,F,9/20/17,0.3543,15,9/29/17,24,N
1 to 3,20,63,9/5/17,F,9/20/17,0.4136,15,9/29/17,24,N
1 to 3,20,74,9/5/17,F,9/20/17,0.3421,15,9/29/17,24,N
1 to 3,21,3,9/6/17,F,9/20/17,0.3542,15,NA,NA,N
1 to 3,21,5,9/6/17,F,9/20/17,0.4365,15,NA,NA,N
1 to 3,21,6,9/6/17,F,9/20/17,0.3846,15,NA,NA,N
1 to 3,21,9,9/6/17,F,9/20/17,0.3714,15,NA,NA,N
1 to 3,21,13,9/6/17,F,9/20/17,0.3181,15,NA,NA,N
1 to 3,21,15,9/6/17,F,9/20/17,0.3475,15,NA,NA,N
1 to 3,21,18,9/6/17,F,9/20/17,0.3471,15,NA,NA,N
1 to 3,21,19,9/6/17,F,9/20/17,0.3994,15,NA,NA,N
1 to 3,25,4,10/25/17,F,11/8/17,0.391,15,11/17/17,23,N
1 to 3,25,7,10/25/17,F,11/8/17,0.3821,15,11/17/17,23,N
1 to 3,25,10,10/25/17,F,11/8/17,0.3721,15,11/17/17,23,N
1 to 3,25,12,10/25/17,F,11/8/17,0.3505,15,11/17/17,23,N
1 to 3,25,14,10/25/17,F,11/8/17,0.3947,15,11/20/17,26,N
1 to 3,25,16,10/25/17,F,11/8/17,0.3501,15,11/18/17,24,N
1 to 3,25,18,10/25/17,F,11/8/17,0.3667,15,11/19/17,25,N
1 to 3,25,19,10/25/17,F,11/8/17,0.3725,15,11/19/17,25,N
1 to 3,25,23,10/25/17,F,11/8/17,0.378,15,11/19/17,25,N
1 to 3,25,28,10/25/17,F,11/8/17,0.3666,15,11/20/17,26,N
1 to 3,25,33,10/25/17,F,11/8/17,0.3975,15,11/19/17,25,N
1 to 3,25,36,10/25/17,F,11/8/17,0.3711,15,11/20/17,26,N
1 to 3,25,39,10/25/17,F,11/8/17,0.3369,15,11/18/17,24,N
1 to 3,25,42,10/25/17,F,11/8/17,0.3133,15,11/19/17,25,N
1 to 3,25,45,10/25/17,F,11/8/17,0.3439,15,11/19/17,25,N
1 to 3,25,48,10/25/17,F,11/8/17,0.3491,15,11/17/17,23,N
1 to 3,25,61,10/25/17,F,11/8/17,0.353,15,DEAD,NA,N
1 to 3,26,9,10/30/17,F,11/13/17,0.4888,15,11/22/17,23,N
1 to 3,26,33,10/30/17,F,11/13/17,0.3356,15,11/22/17,23,N
1 to 3,26,34,10/30/17,F,11/13/17,0.3839,15,11/21/17,22,N
1 to 3,26,41,10/30/17,F,11/13/17,0.3406,15,11/22/17,23,N
1 to 3,26,43,10/30/17,F,11/13/17,0.2915,15,11/21/17,22,N
1 to 3,26,51,10/30/17,F,11/13/17,0.3268,15,11/22/17,23,N
1 to 3,26,54,10/30/17,F,11/13/17,NA,15,11/20/17,21,N
1 to 3,26,57,10/30/17,F,11/13/17,0.3354,15,11/21/17,22,N
1 to 3,28,12,11/27/17,F,12/12/17,0.3315,15,NA,NA,N
1 to 3,28,14,11/27/17,F,12/12/17,0.35,15,NA,NA,N
1 to 3,28,20,11/27/17,F,12/12/17,0.37,15,NA,NA,N
1 to 3,28,29,11/27/17,F,12/12/17,0.3871,15,NA,NA,N
1 to 3,28,34,11/27/17,F,12/12/17,0.3631,15,12/22/17,25,N
1 to 3,28,42,11/27/17,F,12/12/17,0.4204,15,NA,NA,N
1 to 3,28,73,11/27/17,F,12/12/17,0.373,15,NA,NA,N
1 to 3,29,48,12/4/17,F,12/19/17,0.4116,15,NA,NA,N
1 to 3,10,2,8/3/17,F,8/14/17,0.3763,14,NA,NA,N
1 to 3,10,5,8/3/17,F,8/14/17,0.3652,14,NA,NA,N
1 to 3,10,9,8/3/17,F,8/14/17,0.3634,14,NA,NA,N
1 to 3,10,10,8/3/17,F,8/14/17,0.4026,14,NA,NA,N
1 to 3,10,14,8/3/17,F,8/14/17,0.3556,14,NA,NA,N
1 to 3,10,15,8/3/17,F,8/14/17,0.3635,14,NA,NA,N
1 to 3,10,16,8/3/17,F,8/14/17,0.341,14,NA,NA,N
1 to 3,10,19,8/3/17,F,8/14/17,0.3678,14,NA,NA,N
1 to 3,10,23,8/3/17,F,8/14/17,0.3209,14,NA,NA,N
1 to 3,10,24,8/3/17,F,8/14/17,0.3133,14,NA,NA,N
1 to 3,10,26,8/3/17,F,8/14/17,0.3842,14,NA,NA,N
1 to 3,10,28,8/3/17,F,8/14/17,0.3438,14,NA,NA,N
1 to 3,10,29,8/3/17,F,8/14/17,0.3436,14,NA,NA,N
1 to 3,10,31,8/3/17,F,8/14/17,0.4086,14,NA,NA,N
1 to 3,10,32,8/3/17,F,8/14/17,0.3217,14,NA,NA,N
1 to 3,10,33,8/3/17,F,8/14/17,0.3736,14,NA,NA,N
1 to 3,10,34,8/3/17,F,8/14/17,0.3879,14,NA,NA,N
1 to 3,10,37,8/3/17,F,8/14/17,0.3574,14,NA,NA,N
1 to 3,10,39,8/3/17,F,8/14/17,0.3312,14,NA,NA,N
1 to 3,10,44,8/3/17,F,8/14/17,0.3519,14,NA,NA,N
1 to 3,10,45,8/3/17,F,8/14/17,0.3973,14,NA,NA,N
1 to 3,10,46,8/3/17,F,8/14/17,0.3975,14,NA,NA,N
1 to 3,10,48,8/3/17,F,8/14/17,0.3761,14,NA,NA,N
1 to 3,10,52,8/3/17,F,8/14/17,0.4335,14,NA,NA,N
1 to 3,10,53,8/3/17,F,8/14/17,0.376,14,NA,NA,N
1 to 3,10,54,8/3/17,F,8/14/17,0.3552,14,NA,NA,N
1 to 3,10,56,8/3/17,F,8/14/17,0.3462,14,NA,NA,N
1 to 3,10,57,8/3/17,F,8/14/17,0.3449,14,NA,NA,N
1 to 3,10,58,8/3/17,F,8/14/17,0.3294,14,NA,NA,N
1 to 3,10,59,8/3/17,F,8/14/17,0.3436,14,NA,NA,N
1 to 3,10,61,8/3/17,F,8/14/17,0.3441,14,NA,NA,N
1 to 3,10,62,8/3/17,F,8/14/17,0.3137,14,NA,NA,N
1 to 3,10,64,8/3/17,F,8/14/17,0.347,14,NA,NA,N
1 to 3,11,24,8/7/17,F,8/20/17,0.3354,14,8/30/17,23,N
1 to 3,12,8,8/8/17,F,8/21/17,0.3445,14,8/30/17,22,N
1 to 3,12,17,8/8/17,F,8/21/17,0.3159,14,8/30/17,22,N
1 to 3,12,26,8/8/17,F,8/21/17,0.3453,14,8/31/17,23,N
1 to 3,12,50,8/8/17,F,8/21/17,0.36,14,8/31/17,23,N
