`,Replicate,IndividualID,FoodDate,Sex,PupationDate,PupalMass,PupationAge,EmergenceDate,EmergenceAge,Ultrasound,,,,,,,,,,,,,,
1 to 3,21,8,9/6/17,F,9/21/17,0.4964,16,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,9,10/30/17,F,11/13/17,0.4888,15,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,24,43,10/11/17,F,10/24/17,0.4825,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,21,11,9/6/17,F,9/21/17,0.4731,16,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,14,10/11/17,F,10/23/17,0.4715,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,48,9/5/17,F,9/17/17,0.4618,12,9/29/17,24,N,,,,Trial,N,Average,Standard Dev,,,Ultrasound?,N,Average,StDev,StError
1 to 3,31,40,12/11/17,F,NA,0.4606,NA,1/14/18,34,N,,,,Sound Room,219,0.372404608,0.035112451,,,,,,,
1 to 3,31,45,12/11/17,F,NA,0.4578,NA,1/12/18,32,N,,,,Control,1644,0.361322196,0.039717038,,,Y,305,0.355840328,0.012060374,0.000690575
1 to 3,24,9,10/11/17,F,10/23/17,0.4509,12,NA,NA,N,,,,Bat Call,223,0.361390583,0.018476082,,,N,1863,0.369273905,0.039690134,0.000919552
1 to 3,20,4,9/5/17,F,9/17/17,0.4482,12,9/29/17,24,N,,,,Over Exp,82,0.340746341,0.003404072,,,,,,,
1 to 3,24,42,10/11/17,F,10/23/17,0.4469,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,6,9/5/17,F,9/19/17,0.4429,14,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,20,43,9/5/17,F,9/19/17,0.4426,14,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,31,16,12/10/17,F,NA,0.4421,NA,1/11/18,32,N,,,,,,,,,,,,,,
1 to 3,31,4,12/10/17,F,NA,0.4416,NA,1/12/18,33,N,,,,,,,,,,,,,,
1 to 3,23,28,10/3/17,F,NA,0.4409,NA,10/26/17,23,N,,,,,,,,,,,,,,
1 to 3,9,55,7/17/17,F,NA,0.4388,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,12,30,8/8/17,F,8/20/17,0.438,13,8/29/17,21,N,,,,,,,,,,,,,,
1 to 3,31,11,12/10/17,F,NA,0.4377,NA,1/11/18,32,N,,,,,,,,,,,,,,
1 to 3,26,8,10/30/17,F,11/12/17,0.4374,14,11/21/17,22,N,,,,,,,,,,,,,,
1 to 3,18,35,8/30/17,F,NA,0.4373,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,18,10/30/17,F,11/12/17,0.4367,14,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,26,21,10/30/17,F,11/12/17,0.4367,14,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,11,37,8/7/17,F,8/19/17,0.4365,13,8/28/17,21,N,,,,,,,,,,,,,,
1 to 3,21,5,9/6/17,F,9/20/17,0.4365,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,2,9/5/17,F,9/18/17,0.4348,13,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,24,41,10/11/17,F,10/23/17,0.4348,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,52,8/3/17,F,8/14/17,0.4335,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,35,10/11/17,F,10/23/17,0.4335,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,27,5,11/13/17,F,11/24/17,0.4319,11,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,31,53,12/11/17,F,NA,0.4315,NA,1/12/18,32,N,,,,,,,,,,,,,,
1 to 3,12,12,8/8/17,F,8/20/17,0.4299,13,8/31/17,23,N,,,,,,,,,,,,,,
1 to 3,19,1,9/1/17,F,NA,0.4294,NA,9/24/17,23,N,,,,,,,,,,,,,,
1 to 3,18,41,8/30/17,F,NA,0.4283,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,19,8/8/17,F,8/20/17,0.4282,13,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,18,58,8/30/17,F,NA,0.4279,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,25,9/1/17,F,NA,0.4278,NA,9/23/17,22,N,,,,,,,,,,,,,,
1 to 3,24,58,10/11/17,F,10/23/17,0.4272,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,16,57,8/28/17,F,NA,0.4264,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,9,9/5/17,F,9/18/17,0.4258,13,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,20,52,9/5/17,F,9/17/17,0.4256,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,24,20,10/11/17,F,10/23/17,0.4249,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,18,29,8/30/17,F,NA,0.4248,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,39,10/11/17,F,10/23/17,0.4244,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,16,9/1/17,F,NA,0.4233,NA,9/24/17,23,N,,,,,,,,,,,,,,
1 to 3,16,39,8/28/17,F,NA,0.423,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,27,50,11/13/17,F,11/25/17,0.423,12,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,6,9,6/12/17,F,NA,0.4223,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,18,12/10/17,F,NA,0.4223,NA,1/12/18,33,N,,,,,,,,,,,,,,
1 to 3,27,23,11/13/17,F,11/25/17,0.4222,12,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,20,66,9/5/17,F,9/17/17,0.422,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,19,61,9/1/17,F,NA,0.4219,NA,9/24/17,23,N,,,,,,,,,,,,,,
1 to 3,12,1,8/8/17,F,8/19/17,0.4217,12,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,23,14,10/3/17,F,NA,0.4217,NA,10/26/17,23,N,,,,,,,,,,,,,,
1 to 3,26,2,10/30/17,F,11/12/17,0.4213,14,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,33,14,2/20/18,F,3/5/18,0.421,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,28,42,11/27/17,F,12/12/17,0.4204,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,42,9/5/17,F,9/18/17,0.4196,13,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,26,53,10/30/17,F,11/12/17,0.4195,14,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,19,41,9/1/17,F,NA,0.4193,NA,9/28/17,27,N,,,,,,,,,,,,,,
1 to 3,24,53,10/11/17,F,10/24/17,0.4191,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,18,3,8/30/17,F,NA,0.4184,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,23,12,10/3/17,F,NA,0.4184,NA,10/26/17,23,N,,,,,,,,,,,,,,
1 to 3,18,28,8/30/17,F,NA,0.4177,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,60,9/5/17,F,9/18/17,0.4177,13,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,18,61,8/30/17,F,NA,0.4174,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,18,38,8/30/17,F,NA,0.4169,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,12,8/11/17,F,8/23/17,0.4168,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,12,10/11/17,F,10/23/17,0.4161,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,4,10/30/17,F,11/12/17,0.4161,14,11/22/17,23,N,,,,,,,,,,,,,,
